ticker,statement,quarter,tag,value
TSLA,income_statement,2018-01-01,operatingrevenue,3288249000.0
TSLA,income_statement,2018-01-01,totalrevenue,3288249000.0
TSLA,income_statement,2018-01-01,operatingcostofrevenue,2849463000.0
TSLA,income_statement,2018-01-01,totalcostofrevenue,2849463000.0
TSLA,income_statement,2018-01-01,totalgrossprofit,438786000.0
TSLA,income_statement,2018-01-01,sgaexpense,682290000.0
TSLA,income_statement,2018-01-01,rdexpense,354637000.0
TSLA,income_statement,2018-01-01,totaloperatingexpenses,1036927000.0
TSLA,income_statement,2018-01-01,totaloperatingincome,-598141000.0
TSLA,income_statement,2018-01-01,totalinterestexpense,146363000.0
TSLA,income_statement,2018-01-01,totalinterestincome,6280000.0
TSLA,income_statement,2018-01-01,otherincome,-41677000.0
TSLA,income_statement,2018-01-01,totalotherincome,-181760000.0
TSLA,income_statement,2018-01-01,totalpretaxincome,-779901000.0
TSLA,income_statement,2018-01-01,incometaxexpense,-9094000.0
TSLA,cash_flow_statement,2018-01-01,netincomecontinuing,-770807000.0
TSLA,income_statement,2018-01-01,netincomecontinuing,-770807000.0
TSLA,cash_flow_statement,2018-01-01,netincome,-770807000.0
TSLA,income_statement,2018-01-01,netincome,-770807000.0
TSLA,income_statement,2018-01-01,netincometononcontrollinginterest,-95457000.0
TSLA,income_statement,2018-01-01,netincometocommon,-675350000.0
TSLA,income_statement,2018-01-01,weightedavebasicsharesos,165758000.0
TSLA,income_statement,2018-01-01,basiceps,-4.05
TSLA,income_statement,2018-01-01,weightedavedilutedsharesos,165758000.0
TSLA,income_statement,2018-01-01,dilutedeps,-4.05
TSLA,income_statement,2018-01-01,weightedavebasicdilutedsharesos,165800000.0
TSLA,income_statement,2018-01-01,basicdilutedeps,-4.05
TSLA,balance_sheet,2018-01-01,cashandequivalents,3367914000.0
TSLA,balance_sheet,2018-01-01,restrictedcash,155323000.0
TSLA,balance_sheet,2018-01-01,accountsreceivable,515381000.0
TSLA,balance_sheet,2018-01-01,netinventory,2263537000.0
TSLA,balance_sheet,2018-01-01,prepaidexpenses,268365000.0
TSLA,balance_sheet,2018-01-01,totalcurrentassets,6570520000.0
TSLA,balance_sheet,2018-01-01,netppe,10027522000.0
TSLA,balance_sheet,2018-01-01,goodwill,60237000.0
TSLA,balance_sheet,2018-01-01,intangibleassets,361502000.0
TSLA,balance_sheet,2018-01-01,othernoncurrentassets,273123000.0
TSLA,balance_sheet,2018-01-01,othernoncurrentnonoperatingassets,441722000.0
TSLA,balance_sheet,2018-01-01,totalnoncurrentassets,12057330000.0
TSLA,balance_sheet,2018-01-01,totalassets,28655372000.0
TSLA,balance_sheet,2018-01-01,shorttermdebt,796549000.0
TSLA,balance_sheet,2018-01-01,accountspayable,2390250000.0
TSLA,balance_sheet,2018-01-01,accruedexpenses,1731366000.0
TSLA,balance_sheet,2018-01-01,othercurrentliabilities,887333000.0
TSLA,balance_sheet,2018-01-01,totalcurrentliabilities,7674670000.0
TSLA,balance_sheet,2018-01-01,longtermdebt,9415700000.0
TSLA,balance_sheet,2018-01-01,othernoncurrentliabilities,4754811000.0
TSLA,balance_sheet,2018-01-01,totalnoncurrentliabilities,15348310000.0
TSLA,balance_sheet,2018-01-01,totalliabilities,23022980000.0
TSLA,balance_sheet,2018-01-01,commitmentsandcontingencies,0.0
TSLA,balance_sheet,2018-01-01,redeemablenoncontrollinginterest,397804000.0
