Symbol,LastSale,MarketCap,IPOyear,Sector,Industry,Name,basicindustries,consumergoods,consumernondurables,consumerservices,energy,finance,healthcare,misc,publicutilities,tech,transportation,capitalgoods,largecap,megacap,microcap,midcap,nanocap,smallcap
A,65.98,21047620000.0,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,"Agilent Technologies, Inc.",False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
AA,43.44,8100388857.6,2016.0,Basic Industries,Aluminum,Alcoa Corporation,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
AABA,68.9,55155014704.4,,Technology,EDP Services,Altaba Inc.,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
AAC,9.5,233668412.5,2014.0,Health Care,Medical Specialities,"AAC Holdings, Inc.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
AAL,38.82,17876967765.12,,Transportation,Air Freight/Delivery Services,"American Airlines Group, Inc.",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
AAMC,62.7,101151903.6,,Finance,Real Estate,Altisource Asset Management Corp,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
AAME,2.7,54673604.1,,Finance,Life Insurance,Atlantic American Corporation,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
AAN,50.49,3664478417.49,,Technology,Diversified Commercial Services,"Aaron&#39;s,  Inc.",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
AAOI,42.87,844453088.52,2013.0,Technology,Semiconductors,"Applied Optoelectronics, Inc.",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
AAON,41.35,2161148032.75,,Capital Goods,Industrial Machinery/Components,"AAON, Inc.",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
AAP,164.36,12175995564.88,,Consumer Services,Other Specialty Stores,Advance Auto Parts Inc,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
AAPL,216.16,1044036804160.0,1980.0,Technology,Computer Manufacturing,Apple Inc.,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
AAT,39.42,1861496009.82,2011.0,Consumer Services,Real Estate Investment Trusts,"American Assets Trust, Inc.",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
AAU,0.5975,66704675.9375,2015.0,Basic Industries,Precious Metals,"Almaden Minerals, Ltd.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
AAV,3.0,558595584.0,,Energy,Oil & Gas Production,Advantage Oil & Gas Ltd,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
AAWW,62.05,1586931294.05,,Transportation,Transportation Services,Atlas Air Worldwide Holdings,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
AAXJ,71.48,4245912000.0,,,,iShares MSCI All Country Asia ex Japan Index Fund,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
AAXN,65.55,3822856007.25,,Capital Goods,Ordnance And Accessories,"Axon Enterprise, Inc.",False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
AB,30.2,2957450364.0,,Finance,Investment Managers,AllianceBernstein Holding L.P.,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
ABAC,1.9,15169115.5,,Consumer Non-Durables,Farming/Seeds/Milling,"Renmin Tianli Group, Inc.",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ABB,23.44,49968827236.64,,Consumer Durables,Electrical Products,ABB Ltd,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ABBV,97.4,147490160785.2,2012.0,Health Care,Major Pharmaceuticals,AbbVie Inc.,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
ABC,88.33,19110782364.52,,Health Care,Other Pharmaceuticals,AmerisourceBergen Corporation (Holding Co),False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
ABCB,49.85,2368805300.7,1994.0,Finance,Major Banks,Ameris Bancorp,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
ABCD,13.74,649313186.04,,Consumer Services,Publishing,"Cambium Learning Group, Inc.",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ABDC,6.13,82937533.01,,,,Alcentra Capital Corp.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
