Name,Tag,Type,Units,Unnamed: 4
Acquisitions,acquisitions,Metric,USD,"An acquisition is a corporate action in which a company buys most, if not all, of another firm's ownership stakes to assume control of it. An acquisition occurs when a buying company obtains more than 50% ownership in a target company. As part of the ..."
Amortization Expense,amortizationexpense,Metric,USD,"Amortization expense is the write-off of an intangible asset over its expected period of use, which reflects the consumption of the asset. This write-off results in the residual asset balance declining over time. The amount of this write-off appears in the ..."
Cash Income Taxes Paid,cashincometaxespaid,Metric,USD,The total amount of cash income taxes paid by the company for the period.
Cash Interest Paid,cashinterestpaid,Metric,USD,The total amount of cash interest paid by the company for the period.
Cash Interest Received,cashinterestreceived,Metric,USD,The total amount of cash interest received by the company for the period.
Depreciation Expense,depreciationexpense,Metric,USD,"Depreciation is an accounting method of allocating the cost of a tangible asset over its useful life. Businesses depreciate long-term assets for both tax and accounting purposes. For tax purposes, businesses can deduct the cost of the tangible assets they ..."
Divestitures,divestitures,Metric,USD,"A divestiture is the partial or full disposal of a business unit through sale, exchange, closure or bankruptcy. A divestiture most commonly results from a management decision to cease operating a business unit because it is not part of a core competency. ..."
Effect of Exchange Rate Changes,effectofexchangeratechanges,Metric,USD,"The price of a nation s currency in terms of another currency. An exchange rate thus has two components, the domestic currency and a foreign currency, and can be quoted either directly or indirectly. In a direct quotation, the price of a unit of foreign ..."
"Changes in Operating Assets and Liabilities, net",increasedecreaseinoperatingcapital,Metric,USD,Increase or decrease in operating capital measures the change in items from the balance sheet to adjust net income for changes in operating capital such as net working capital.
Issuance of Common Equity,issuanceofcommonequity,Metric,USD,"Issued shares are the authorized shares sold to and held by the shareholders of a company, regardless of whether they are insiders, institutional investors or the general public, as shown in the company s annual report. Issued shares include the stock a ..."
Issuance of Debt,issuanceofdebt,Metric,USD,"A debt issue is a fixed corporate or government obligation, such as a bond or debenture. A debt issue is a financial obligation that allows the issuer to raise funds by promising to repay the lender at a certain point in the future and in accordance with ..."
Issuance of Preferred Equity,issuanceofpreferredequity,Metric,USD,"A preferred stock is a class of ownership in a corporation that has a higher claim on its assets and earnings than common stock. Preferred shares generally have a dividend that must be paid out before dividends to common shareholders, and the shares usually ..."
"Loans Held for Sale, Net",loansheldforsalenet,Metric,USD,"Loans originated with the intent of selling in the secondary market are classified as held-for-sale. Loans held-for-sale are carried at the lower of aggregate cost, net of deferred fees, deferred origination costs and effects of hedge accounting, or fair ..."
