Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Classification,CIK
TWOU,"2U, Inc.",83.2,4777747520.0,,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,midcap,1459417
DDD,3D Systems Corporation,20.91,2384373217.53,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,midcap,910638
JOBS,"51job, Inc.",71.41,2601906971.11,36436171.0,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,midcap,1295484
EGHT,8x8 Inc,22.7,2118406857.6,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,midcap,1023731
EGHT,8x8 Inc,22.7,2118406857.6,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,midcap,1023731
AAON,"AAON, Inc.",41.35,2161148032.75,,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,midcap,824142
AAN,"Aaron&#39;s,  Inc.",50.49,3664478417.49,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,midcap,706688
ABM,ABM Industries Incorporated,30.5,2005135880.0,,,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,midcap,771497
ACHC,"Acadia Healthcare Company, Inc.",39.94,3525678457.62,,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,midcap,1520697
AKR,Acadia Realty Trust,28.71,2339945732.52,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,midcap,899629
XLRN,Acceleron Pharma Inc.,49.82,2291842905.94,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,midcap,1280600
ACIW,"ACI Worldwide, Inc.",28.46,3294530368.42,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,midcap,935036
AYI,Acuity Brands Inc,149.03,5988177857.69,,,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,midcap,1144215
GOLF,Acushnet Holdings Corp.,27.68,2069335348.0,,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf,midcap,1672013
ACXM,Acxiom Corporation,45.42,3517166193.36,,,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm,midcap,733269
ADNT,Adient plc,45.4,4239079629.2,,2016.0,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt,midcap,1670541
ADT,ADT Inc.,9.01,6908593834.71,,2018.0,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt,midcap,1703056
ATGE,Adtalem Global Education Inc.,48.7,2916789100.0,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge,midcap,730464
ADSW,"Advanced Disposal Services, Inc.",25.93,2297066614.6,,2016.0,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw,midcap,1585790
AEIS,"Advanced Energy Industries, Inc.",58.04,2270151370.64,,1995.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,midcap,927003
ACM,AECOM,33.52,5389356460.48,,2007.0,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,midcap,868857
AER,Aercap Holdings N.V.,56.77,8426512286.99,,2006.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer,midcap,1378789
AERI,"Aerie Pharmaceuticals, Inc.",61.0,2758557433.0,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,midcap,1337553
